cter,Lines,Play
King of France (KING.),373,All's Well That Ends Well
Duke of Florence (DUKE.),19,All's Well That Ends Well
"Bertram, Count of Roussillion (BER.)",240,All's Well That Ends Well
Lafew (LAF.),146,All's Well That Ends Well
Parolles (PAR.),184,All's Well That Ends Well
Rinaldo (STEW.),23,All's Well That Ends Well
Lavatch (CLO.),74,All's Well That Ends Well
Countess's Page (PAGE.),1,All's Well That Ends Well
Gentleman (GENT.),22,All's Well That Ends Well
Countess of Roussillion (COUNT.),220,All's Well That Ends Well
Helena (HEL.),459,All's Well That Ends Well
An Old Widow of Florence (WID.),56,All's Well That Ends Well
Diana (DIA.),137,All's Well That Ends Well
Mariana (MAR.),6,All's Well That Ends Well
Violenta (VIOL.),0,All's Well That Ends Well
First French Lord (1. LORD.),2,All's Well That Ends Well
Second French Lord (2. LORD.),2,All's Well That Ends Well
Third French Lord (3. LORD.),1,All's Well That Ends Well
Fourth French Lord (4. LORD.),2,All's Well That Ends Well
First French Lord Dumaine (1. LORD. DUM.),70,All's Well That Ends Well
Second French Lord Dumaine (2. LORD. DUM.),80,All's Well That Ends Well
First Soldier as Interpreter (1. SOLD. AS INTERPRETER.),53,All's Well That Ends Well
Second Soldier (2. SOLD.),2,All's Well That Ends Well
Messenger (MESS.),1,All's Well That Ends Well
"Cleopatra, Queen of Egypt (CLEO.)",679,Antony and Cleopatra
Clown (CLOWN.),8,Antony and Cleopatra
Rannius (RANN.),0,Antony and Cleopatra
"Lamprius, the Soothsayer (SOOTH.)",30,Antony and Cleopatra
Diomedes (DIO.),19,Antony and Cleopatra
Seleucus (SEL.),5,Antony and Cleopatra
Mardian (MAR.),19,Antony and Cleopatra
Alexas (ALEX.),30,Antony and Cleopatra
Schoolmaster (Ambassador) (AMB.),16,Antony and Cleopatra
Silius (SIL.),11,Antony and Cleopatra
Varrius (VAR.),4,Antony and Cleopatra
Menecrates (MENE.),4,Antony and Cleopatra
Menas (MENAS.),59,Antony and Cleopatra
Taurus (TAUR.),1,Antony and Cleopatra
Gallus (GALL.),2,Antony and Cleopatra
Thidias (THID.),31,Antony and Cleopatra
Proculeius (PRO.),36,Antony and Cleopatra
Dolabella (DOL.),48,Antony and Cleopatra
Agrippa (AGR.),61,Antony and Cleopatra
Maecenas (MAEC.),39,Antony and Cleopatra
Canidius (CAN.),25,Antony and Cleopatra
Philo (PHI.),17,Antony and Cleopatra
Demetrius (DEM.),5,Antony and Cleopatra
Decretas (DEC.),22,Antony and Cleopatra
Scarus (SCAR.),68,Antony and Cleopatra
Eros (EROS.),43,Antony and Cleopatra
Ventidius (VEN.),30,Antony and Cleopatra
Domitius Enobarbus (ENO.),298,Antony and Cleopatra
Sextus Pompeius (POM.),136,Antony and Cleopatra
M. Aemilius Lepidus (LEP.),65,Antony and Cleopatra
Octavius Caesar (CAES.),421,Antony and Cleopatra
Mark Antony (ANT.),837,Antony and Cleopatra
Iras (IRAS.),23,Antony and Cleopatra
Charmian (CHAR.),87,Antony and Cleopatra
Octavia (OCT.),37,Antony and Cleopatra
Lucillius (LUCILL.),0,Antony and Cleopatra
Antony's First Attendant (ANT. 1. ATT.),3,Antony and Cleopatra
Antony's Second Attendant (ANT. 2. ATT.),1,Antony and Cleopatra
Caesar's First Messenger (1. CAES. MESS.),7,Antony and Cleopatra
Caesar's Second Messenger (2. CAES. MESS.),9,Antony and Cleopatra
Caesar's Third Messenger (3. CAES. MESS.),2,Antony and Cleopatra
First Roman Messenger (1. ROM. MESS.),1,Antony and Cleopatra
Second Roman Messenger (2. ROM. MESS.),3,Antony and Cleopatra
First Messenger (1. MESS.),15,Antony and Cleopatra
Second Messenger (2. MESS.),4,Antony and Cleopatra
Egyptian Messenger (EGYPT. MESS.),43,Antony and Cleopatra
First Egyptian Servant (1. EGYPT. SERV.),3,Antony and Cleopatra
Second Egyptian Servant (2. EGYPT. SERV.),6,Antony and Cleopatra
Antony's First Soldier (ANT. 1. SOLD.),18,Antony and Cleopatra
Antony's Second Soldier (ANT. 2. SOLD.),12,Antony and Cleopatra
Antony's Third Soldier (ANT. 3. SOLD.),4,Antony and Cleopatra
Antony's Fourth Soldier (ANT. 4. SOLD.),1,Antony and Cleopatra
Captain of Antony's Army (CAPT. ANT. ARMY.),1,Antony and Cleopatra
Caesar's First Soldier (CAES. 1. SOLD.),10,Antony and Cleopatra
Caesar's Sentry (CAES. SENT.),14,Antony and Cleopatra
Caesar's First Watchman (CAES. 1. WATCH.),6,Antony and Cleopatra
Caesar's Second Watchman (CAES. 2. WATCH.),6,Antony and Cleopatra
Antony's First Guardsman (ANT. 1. GUARD.),8,Antony and Cleopatra
Antony's Second Guardsman (ANT. 2. GUARD.),5,Antony and Cleopatra
Antony's Third Guardsman (ANT. 3. GUARD.),4,Antony and Cleopatra
First Roman Guard (1. ROM. GUARD.),18,Antony and Cleopatra
Second Roman Guard (2. ROM. GUARD.),2,Antony and Cleopatra
First Roman Soldier (1. ROM. SOLD.),0,Antony and Cleopatra
Second Roman Soldier (2. ROM. SOLD.),0,Antony and Cleopatra
Pompey's First Servant (POM. 1. SERV.),4,Antony and Cleopatra
Pompey's Second Servant (POM. 2. SERV.),3,Antony and Cleopatra
Audrey (AUD.),12,As You Like It
Phebe (PHE.),86,As You Like It
Celia (CEL.),184,As You Like It
Rosalind (ROS.),361,As You Like It
Silvius (SIL.),75,As You Like It
Corin (COR.),49,As You Like It
Sir Oliver Martext (SIR OLI.),3,As You Like It
Touchstone (TOUCH.),97,As You Like It
Adam (ADAM.),60,As You Like It
Orlando (ORL.),190,As You Like It
Oliver (OLI.),101,As You Like It
Charles (CHA.),8,As You Like It
Le Beau (LE BEAU.),34,As You Like It
Jaques (JAQ.),168,As You Like It
Amiens (AMI.),44,As You Like It
Duke Frederick (DUKE F.),63,As You Like It
Duke Senior (DUKE S.),107,As You Like It
Jaques De Boys (JAQ. DE B.),17,As You Like It
Dennis (DEN.),2,As You Like It
Hymen (HYM.),30,As You Like It
William (WILL.),11,As You Like It
First Lord at Court (1. LORD. COURT.),4,As You Like It
Second Lord at Court (2. LORD. COURT.),9,As You Like It
First Lord in Arden (1. LORD. ARD.),43,As You Like It
Second Lord in Arden (2. LORD. ARD.),13,As You Like It
First Page (1. PAGE.),3,As You Like It
Second Page (2. PAGE.),20,As You Like It
Luce (LUCE.),9,The Comedy of Errors
Luciana (LUC.),95,The Comedy of Errors
Adriana (ADR.),263,The Comedy of Errors
Aemilia (ABB.),73,The Comedy of Errors
Doctor Pinch (PINCH.),12,The Comedy of Errors
Angelo (ANG.),77,The Comedy of Errors
Balthazar (BALTH.),26,The Comedy of Errors
Dromio of Syracuse (S. DRO.),153,The Comedy of Errors
Dromio of Ephesus (E. DRO.),135,The Comedy of Errors
Antipholus of Syracuse (S. ANT.),265,The Comedy of Errors
Antipholus of Ephesus (E. ANT.),212,The Comedy of Errors
Egeon (EGE.),143,The Comedy of Errors
"Solinus, Duke of Ephesus (DUKE.)",90,The Comedy of Errors
First Merchant (1. MER.),15,The Comedy of Errors
Second Merchant (2. MER.),34,The Comedy of Errors
Jailer (JAIL.),1,The Comedy of Errors
Courtezan (COUR.),35,The Comedy of Errors
Messenger (MESS.),15,The Comedy of Errors
Officer (OFF.),13,The Comedy of Errors
Headsman (HEAD.),0,The Comedy of Errors
Volumnia (VOL.),275,Coriolanus
Tullus Aufidius (AUF.),274,Coriolanus
Lieutenant to Aufidius (LIEU. AUF.),11,Coriolanus
Nicanor (NIC.),10,Coriolanus
Roman Herald (ROM. HER.),6,Coriolanus
Young Martius (BOY.),2,Coriolanus
Junius Brutus (BRU.),249,Coriolanus
Sicinius Velutus (SIC.),307,Coriolanus
Menenius Agrippa (MEN.),462,Coriolanus
Cominius (COM.),276,Coriolanus
Titus Lartius (LART.),60,Coriolanus
Lieutenant to Lartius (LIEU. LART.),1,Coriolanus
Caius Martius (MAR.),870,Coriolanus
Virgilia (VIR.),32,Coriolanus
Gentlewoman (GENT.),1,Coriolanus
Valeria (VAL.),15,Coriolanus
Citizen of Antium (CIT. ANT.),4,Coriolanus
Adrian (ADR.),9,Coriolanus
First Messenger (1. MESS.),27,Coriolanus
Second Messenger (2. MESS.),17,Coriolanus
Third Messenger (3. MESS.),14,Coriolanus
First Roman Senator (1. ROM. SEN.),39,Coriolanus
Second Roman Senator (2. ROM. SEN.),11,Coriolanus
First Volscian Senator (1. VOL. SEN.),19,Coriolanus
Second Volscian Senator (2. VOL. SEN.),9,Coriolanus
First Roman Soldier (1. ROM. SOLD.),7,Coriolanus
Second Roman Soldier (2. ROM. SOLD.),1,Coriolanus
First Roman (1. ROM.),1,Coriolanus
Second Roman (2. ROM.),1,Coriolanus
Third Roman (3. ROM.),1,Coriolanus
Usher (USH.),0,Coriolanus
Scout (SCOUT.),0,Coriolanus
Volscian Soldier (VOL. SOLD.),4,Coriolanus
First Officer (1. OFF.),5,Coriolanus
Second Officer (2. OFF.),3,Coriolanus
First Roman Citizen (1. ROM. CIT.),57,Coriolanus
Second Roman Citizen (2. ROM. CIT.),33,Coriolanus
Third Roman Citizen (3. ROM. CIT.),33,Coriolanus
Fourth Roman Citizen (4. ROM. CIT.),15,Coriolanus
Fifth Roman Citizen (5. ROM. CIT.),13,Coriolanus
Sixth Roman Citizen (6. ROM. CIT.),12,Coriolanus
Seventh Roman Citizen (7. ROM. CIT.),12,Coriolanus
First Aedile (1. AED.),16,Coriolanus
Second Aedile (2. AED.),1,Coriolanus
First Servingman (1. SERV.),21,Coriolanus
Second Servingman (2. SERV.),21,Coriolanus
Third Servingman (3. SERV.),20,Coriolanus
First Watchman (1. WATCH.),14,Coriolanus
Second Watchman (2. WATCH.),7,Coriolanus
First Conspirator (1. CONSP.),10,Coriolanus
Second Conspirator (2. CONSP.),9,Coriolanus
Third Conspirator (3. CONSP.),14,Coriolanus
First Volscian Lord (1. VOL. LORD.),17,Coriolanus
